"","countries","happiness_score","human_freedom_score","personal_freedom_score","economic_freedom_score","religion","association","assembly","movement","inheritance_rights","disapperances_conflicts_and_terrorism","rule_of_law","homicide","size_of_government"
"112","Poland",6.1862998008728,7.78,8.32387978230488,7.24,6.34592592592593,10,10,10,10,9.5,6.38286304456343,9.68,5.63392631945003
"113","Portugal",5.9109001159668,8.27,9.01657667129864,7.52,9.42555555555555,10,10,10,10,10,7.16560827249614,9.72,6.19547127980413
"114","Republic of Congo",5.1943998336792,5.8,6.51634384497267,5.08,9.35,10,2.5,4.16666666666667,7.5,8,3.41270430967968,6.27101943598108,5.60869398173291
"115","Romania",6.12370014190674,8.11,8.5365258738327,7.68,7.87740740740741,10,10,10,10,10,6.32847386570116,9.4,6.99243887286843
"116","Russia",5.5460000038147,6.34,5.89988105621619,6.78,4.5962962962963,5,5,5,10,6.91584585230089,3.9951942312915,6.32,6.33331663894226
"117","Rwanda",3.31229996681213,6.82,6.37769312449132,7.26,6.04037037037037,2.5,2.5,8.33333333333333,7.5,7.96286711826258,5.38816585265274,8.99222265894485,5.24877287124227
"118","Saudi Arabia",6.4064998626709,5.42,4.31647822871454,6.52,3.21481481481481,2.5,2.5,0,0,8.35346300764201,5.34061852839278,9.48,5.20426520178944
"119","Senegal",4.98080015182495,6.57,6.97279888034145,6.17,9.02222222222222,10,10,8.33333333333333,5,9,4.6823846609518,7.04976591457538,7.01654715025395
"120","Serbia",5.77820014953613,7.3,7.71422199245695,6.89,8.27037037037037,7.5,7.5,10,7.5,9.4943026906398,4.39968654384734,9.56,6.37082025615686
"121","Sierra Leone",3.92639994621277,5.99,6.27249362311096,5.71,8.45333333333333,NA,NA,8.33333333333333,5,9.5,3.92509599149443,9.3146355028482,6.94123559079812
"122","Singapore",6.37709999084473,8.11,7.50245192887453,8.71,6.11481481481481,5,2.5,8.33333333333333,7.5,10,7.683405599096,9.92,7.20282825787765
"123","Slovakia",6.28060007095337,8.02,8.53528491249018,7.51,7.72777777777778,10,10,10,10,9.5,6.09764758646865,9.4,6.49239774374897
"124","Slovenia",6.36339998245239,7.97,8.78384612812908,7.15,9,10,10,10,10,9.5,6.4506226077544,9.64,5.25321153988135
"125","South Africa",4.81409978866577,7.08,7.55235700840061,6.61,9.36481481481482,10,10,10,7.5,8.97037933284243,5.72813756815763,0,5.77191415184241
"126","South Korea",5.87239980697632,8.2,8.81416477480431,7.59,9.35333333333333,10,10,8.33333333333333,10,9.5,7.43818290874104,9.76,7.03557004495742
